Info - Ticker;Company;Info - Sector;Info - Industry;Market Cap - Current;P/E - Current;Current r. - Current;Debt-Equity - Current;FCF margin - Average 3y;ROA - Average 5y;MA - MA 50d;MA - MA 200d;Info - Report;F-Score - Point;FS & G & Div. - Point;Earnings - Stable 5y;Dividend - Stable 5y;OP Cash F. - Stable 5y;Price / MA - MA 200d;RSI - RSI(14);Performance - Perform. 1y;Performance - Perform. 1m;Performance - Perform. 6m;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;Earnings g. - Growth 5y;Fair value
AENA;Aena SME SA;Industrials;Airlines;38671;18,1;1,9;1,0;25,8%;7,0%;26,19;24,15;Q4-2025;8;19;3;2;5;6,4%;44,6;19,4%;-9,5%;4,2%;25,70;EUR;EUR;1,42;9,3%;79,6%;27,20
ACA;Arcosa Inc;Industrials;Construction & Infrastructure;5178;24,9;2,2;0,9;6,9%;4,0%;115,81;100,81;Q4-2025;9;18;5;5;5;5,0%;37,5;31,2%;-16,9%;12,5%;105,88;USD;USD;4,25;4,7%;14,1%;82,34
AZK;Azkoyen SA;Industrials;Industrial Components;218;12,6;1,9;0,5;11,1%;8,0%;8,85;8,76;Q4-2025;8;22;5;4;5;1,8%;50,5;20,5%;-0,4%;3,7%;8,92;EUR;EUR;0,71;12,6%;22,3%;14,02
AKK;Azkoyen SA;Industrials;Industrial Components;217;12,5;1,9;0,5;11,1%;8,0%;8,74;8,68;Q4-2025;8;21;5;2;5;2,3%;52,0;21,0%;0,7%;6,5%;8,88;EUR;EUR;0,71;12,6%;22,3%;14,02
AZZ;AZZ Inc;Industrials;Business Support & Services;3714;11,6;1,7;0,7;17,4%;7,0%;126,88;110,56;Q3-2026;7;18;5;5;5;12,1%;42,7;43,3%;-11,6%;8,3%;123,96;USD;USD;10,73;7,9%;47,6%;141,50
BKR;Baker Hughes Co;Energy;Oil & Gas - Services;54528;21,1;1,4;1,2;7,9%;3,4%;57,09;47,81;Q4-2025;7;12;2;5;5;15,4%;37,1;28,8%;-9,8%;16,9%;55,19;USD;USD;2,62;6,0%;16,8%;44,55
BORG;Björn Borg;Consumer Durables;Clothing & Footwear;1632;17,7;1,4;1,0;7,7%;11,1%;61,91;61,00;Q4-2025;7;18;5;5;5;6,4%;53,8;21,8%;6,4%;3,2%;64,90;SEK;SEK;3,66;19,1%;37,3%;77,51
CCL.B;CCL Industries Inc;Materials;Packaging;15101;18,8;1,4;0,8;9,2%;7,5%;87,12;82,23;Q4-2025;7;20;5;5;5;5,1%;46,6;20,6%;0,1%;7,4%;86,44;CAD;CAD;4,59;10,3%;9,2%;71,64
CRBN;Corbion NV;Materials;Chemicals;1101;14,7;1,9;0,9;5,4%;4,7%;19,89;18,35;Q4-2025;8;15;5;5;5;3,5%;40,4;-8,9%;-10,8%;12,3%;18,99;EUR;EUR;1,29;7,0%;0,8%;22,22
CSUA;Corbion NV;Materials;Chemicals;1109;14,8;1,9;0,9;5,4%;4,7%;19,80;18,32;Q4-2025;8;15;5;5;5;4,4%;45,7;-4,1%;-10,2%;11,6%;19,12;EUR;EUR;1,29;7,0%;0,8%;22,22
CLB;Core Laboratories Inc;Energy;Oil & Gas - Services;727;22,9;2,1;1,1;5,1%;4,9%;18,22;14,38;Q4-2025;7;12;4;5;5;9,7%;31,4;3,5%;-15,0%;22,7%;15,77;USD;USD;0,69;6,0%;18,3%;19,75
HJ1;Core Laboratories Inc;Energy;Oil & Gas - Services;613;22,8;2,1;1,1;5,1%;4,9%;15,40;12,22;Q4-2025;7;12;4;5;5;8,8%;29,9;-4,3%;-14,2%;25,5%;13,30;EUR;USD;0,69;6,0%;18,3%;19,65
CMRE;Costamare Inc;Industrials;Marine & Sea;1990;5,4;1,7;0,8;10,3%;9,0%;16,54;13,09;Q4-2025;8;21;5;5;5;26,5%;48,4;117,7%;-2,2%;34,3%;16,56;USD;USD;3,09;11,9%;80,5%;45,99
CTS;CTS Corp;Technology;Semiconductors;1358;20,8;2,3;0,4;15,0%;5,1%;50,68;43,99;Q4-2025;8;17;4;5;5;4,6%;31,5;8,4%;-19,9%;10,4%;46,01;USD;USD;2,21;7,2%;15,6%;49,92
ENS;EnerSys;Industrials;Electrical Components;6173;19,8;2,7;1,1;8,7%;6,7%;169,25;126,25;Q3-2026;7;18;5;5;4;28,3%;46,6;69,5%;-9,6%;50,2%;161,95;USD;USD;8,19;9,5%;19,4%;131,85
ESSITY B;Essity B;Food and Beverage;Personal Products;182065;14,3;1,3;0,9;12,1%;5,3%;270,55;260,46;Q4-2025;8;19;5;5;5;0,9%;40,4;-12,2%;-7,3%;5,8%;262,70;SEK;SEK;18,37;8,1%;4,8%;277,65
EXPD;Expeditors International of;Industrials;Rail & Highway;19392;23,9;1,8;1,1;8,7%;18,6%;153,91;132,73;Q4-2025;7;20;5;5;5;7,6%;42,8;24,0%;-2,5%;14,4%;142,79;USD;USD;5,97;64,0%;7,6%;121,88
GML0;Global Industrial Co;Industrials;Industrial Components;991;16,3;2,2;0,9;5,8%;14,5%;24,92;25,31;Q4-2025;7;11;5;2;5;1,9%;53,9;31,0%;-3,0%;-13,4%;25,80;EUR;USD;1,86;25,3%;1,9%;47,90
GSL;Global Ship Lease Inc;Industrials;Marine & Sea;1346;3,4;2,2;0,6;26,3%;13,3%;37,60;32,22;Q3-2025;7;19;5;4;5;17,4%;46,7;62,7%;-0,9%;18,3%;37,82;USD;USD;11,14;16,9%;39,8%;152,29
IM4;IMC SA;Food and Beverage;Farming;244;3,8;6,0;0,7;21,5%;9,8%;7,00;6,36;Q3-2025;8;19;3;2;5;7,8%;49,3;9,9%;-5,5%;12,1%;6,86;EUR;USD;2,12;12,2%;17,2%;21,75
DNR;Industrie De Nora SpA;Industrials;Electrical Components;1391;15,2;4,3;0,3;5,1%;8,9%;7,25;6,99;Q3-2025;7;16;5;2;4;0,1%;43,3;0,1%;-5,8%;7,1%;7,00;EUR;EUR;0,46;13,6%;23,2%;13,53
IDCC;InterDigital Inc;Technology;IT Services;9242;22,7;1,8;0,9;37,2%;11,9%;344,49;311,39;Q4-2025;8;21;5;5;5;15,1%;50,5;65,1%;-4,5%;10,7%;358,31;USD;USD;15,77;137,0%;61,0%;303,04
H4W;Jardine Matheson Holdings Ltd;Industrials;Industrial Components;19448;20,3;1,5;1,1;9,8%;0,8%;64,13;53,71;Q4-2025;7;17;3;5;5;23,2%;53,7;65,0%;1,5%;30,2%;66,15;EUR;USD;3,78;1,1%;40,8%;48,65
KRX;Kingspan Group PLC;Industrials;Construction Supplies;13087;19,5;1,4;1,1;7,5%;7,6%;76,04;71,85;Q4-2025;7;16;5;4;5;0,4%;37,2;-8,7%;-10,5%;5,9%;72,15;EUR;EUR;3,70;11,5%;12,4%;56,72
KCR;Konecranes;Industrials;Industrial Machinery;7134;17,8;1,4;1,2;11,3%;5,9%;96,21;81,12;Q4-2025;9;21;5;5;5;11,0%;39,7;32,3%;-6,6%;24,2%;90,05;EUR;EUR;5,05;12,5%;26,7%;80,92
LNR;Linamar Corp;Consumer Durables;Auto & Equipment;5222;8,9;1,7;0,8;5,1%;4,7%;89,09;76,82;Q4-2025;7;19;5;5;5;13,4%;42,8;67,1%;-7,9%;13,2%;87,10;CAD;CAD;9,75;7,2%;18,0%;126,54
MPE;M P Evans Group PLC;Food and Beverage;Farming;782;9,9;3,4;0,2;26,9%;13,1%;13,83;12,82;Q2-2025;8;23;5;5;5;16,2%;58,6;;-1,3%;14,8%;14,90;GBP;USD;2,03;16,5%;40,2%;30,31
MYM;Mayr-Melnhof Karton AG;Materials;Packaging;1758;7,9;1,8;1,0;6,4%;4,2%;95,02;82,44;Q3-2025;9;20;5;5;5;8,1%;39,3;9,6%;-9,3%;12,1%;89,10;EUR;EUR;11,28;5,8%;7,0%;172,86
MBB;MBB SE;Industrials;Industrial Components;1004;18,6;3,1;0,7;10,3%;1,7%;208,77;180,02;Q3-2025;8;15;4;5;5;4,0%;30,5;58,6%;-15,9%;14,3%;187,20;EUR;EUR;10,07;4,5%;36,3%;92,92
MSAB B;Micro Systemation;Technology;Electronic Equipment;1189;23,3;1,8;1,1;14,5%;12,4%;64,72;61,26;Q4-2025;7;14;5;4;5;1,2%;42,9;21,1%;-2,5%;0,0%;62,00;SEK;SEK;2,66;277,1%;24,7%;109,56
6QK;MS International PLC;Industrials;Industrial Components;254;15,5;2,0;1,0;9,7%;8,4%;15,18;15,39;Q2-2026;7;14;5;4;2;1,3%;55,8;30,0%;6,8%;0,6%;15,60;EUR;GBP;0,89;25,5%;65,2%;23,72
MLI;Mueller Industries Inc;Industrials;Industrial Components;12102;15,8;5,9;0,2;16,5%;23,4%;122,12;103,12;Q4-2025;7;22;5;5;5;7,2%;35,1;39,1%;-7,5%;11,9%;110,55;USD;USD;6,99;43,1%;41,1%;136,87
MWA;Mueller Water Products Inc;Industrials;Industrial Machinery;4328;21,6;4,0;0,8;12,9%;7,8%;27,75;25,67;Q1-2026;8;20;5;5;5;7,8%;41,3;1,5%;-8,2%;8,5%;27,67;USD;USD;1,28;12,0%;23,8%;27,74
NHC;National Healthcare Corp;Health Care;Healthcare Facilities;2552;21,3;1,9;0,4;7,7%;6,3%;151,94;125,58;Q4-2025;9;19;5;5;5;31,4%;58,7;76,2%;-2,8%;43,0%;164,96;USD;USD;7,76;9,4%;23,1%;119,75
NXR;Norcros PLC;Industrials;Construction Supplies;286;14,3;1,9;0,9;5,5%;4,7%;3,40;2,89;Q2-2026;9;15;5;4;5;10,7%;40,5;47,6%;-10,1%;23,4%;3,19;GBP;GBP;0,22;7,1%;3,8%;2,89
NVEC;NVE Corp;Technology;Semiconductors;336;23,7;34,8;0,0;53,1%;25,4%;67,55;67,82;Q3-2026;7;17;5;5;5;2,4%;56,2;6,2%;5,1%;3,5%;69,43;USD;USD;2,93;40,1%;3,9%;73,67
ODL;Odfjell Drilling;Energy;Oil & Gas -Drilling;24029;13,8;1,0;0,9;6,9%;5,1%;97,50;82,49;Q4-2025;7;17;5;3;5;21,5%;50,1;71,0%;-2,0%;27,3%;100,20;NOK;USD;0,72;6,3%;3,6%;21,05
OGUN B;Ogunsen;Industrials;Outsourcing;309;21,7;1,8;1,0;6,0%;18,8%;30,26;27,47;Q4-2025;7;15;5;5;5;4,5%;43,5;-3,5%;0,5%;15,7%;28,70;SEK;SEK;1,32;111,8%;5,1%;23,93
ODC;Oil-Dri Corp of America;Materials;Chemicals;868;16,0;3,5;0,4;8,7%;10,2%;60,57;58,42;Q2-2026;7;16;5;5;5;6,7%;46,9;29,2%;-3,2%;-7,8%;62,36;USD;USD;3,89;14,2%;37,0%;77,34
7OK;Okeanis Eco Tankers Corp;Industrials;Marine & Sea;1264;12,1;3,4;1,1;33,9%;8,0%;36,41;27,69;Q4-2025;7;18;4;5;5;40,1%;50,6;97,2%;6,6%;52,2%;38,80;EUR;USD;3,77;9,3%;3,9%;375,50
ECO;Okeanis Eco Tankers Corp;Industrials;Marine & Sea;1489;12,1;3,4;1,1;33,9%;8,0%;42,97;32,53;Q4-2025;7;18;4;5;5;40,5%;50,9;109,5%;6,4%;51,6%;45,72;USD;USD;3,77;9,3%;3,9%;375,50
ORK;Orkla;Food and Beverage;Food Processing;118770;17,4;1,4;0,7;12,4%;6,7%;119,76;111,15;Q4-2025;8;20;5;5;5;6,7%;40,5;9,1%;-8,6%;10,5%;118,60;NOK;NOK;6,83;8,6%;9,4%;114,87
PFD;Premier Foods PLC;Food and Beverage;Food Processing;1686;12,7;1,4;0,6;8,8%;4,6%;1,87;1,87;Q2-2026;9;19;5;4;5;2,8%;52,0;6,6%;-0,8%;4,0%;1,92;GBP;GBP;0,15;5,6%;3,9%;1,91
RVRC;Revolutionrace;Consumer Durables;Clothing & Footwear;7342;23,8;1,9;0,4;15,8%;18,5%;64,01;55,40;Q2-2026;7;17;5;5;5;23,5%;57,6;46,5%;6,5%;38,2%;68,40;SEK;SEK;2,88;29,1%;13,6%;52,50
SD;SandRidge Energy Inc;Energy;Oil & Gas -Exploration;606;8,6;2,2;0,3;41,4%;21,1%;16,07;13,02;Q4-2025;9;19;4;2;5;26,6%;46,3;44,3%;-2,5%;40,5%;16,48;USD;USD;1,91;43,1%;17,6%;32,47
SA2D;SandRidge Energy Inc;Energy;Oil & Gas -Exploration;552;9,1;2,2;0,3;41,4%;21,1%;13,59;11,04;Q4-2025;9;19;4;2;5;35,8%;57,5;44,2%;6,4%;54,6%;15,00;EUR;USD;1,91;43,1%;17,6%;30,61
SJ;Stella-Jones Inc;Materials;Forest & Wood Products;5398;15,9;7,3;1,0;5,7%;8,3%;93,53;83,52;Q3-2025;7;20;5;5;5;16,3%;57,3;44,2%;-1,5%;21,7%;97,10;CAD;CAD;6,11;9,1%;14,4%;113,18
SQE;Strategic Education Inc;Industrials;Education;1592;14,8;1,3;0,2;9,9%;3,9%;68,07;68,34;Q4-2025;7;14;5;5;5;2,4%;57,0;-3,4%;12,0%;3,7%;70,00;EUR;USD;5,57;4,8%;7,9%;103,60
SOC;Subsea 7 SA;Energy;Oil & Gas - Services;6849;19,7;1,1;0,8;8,9%;1,8%;21,31;17,87;Q4-2025;8;13;4;3;5;29,6%;58,4;67,3%;3,9%;34,8%;23,16;EUR;USD;1,39;3,3%;18,9%;240,00
SUBC;Subsea7;Energy;Oil & Gas - Services;76817;18,5;1,1;0,8;8,2%;1,8%;244,42;208,91;Q4-2025;8;15;4;5;5;22,7%;54,1;57,9%;0,0%;27,1%;256,40;NOK;USD;1,37;3,3%;19,2%;171,01
03P;Thessaloniki Port Authority SA;Industrials;Marine & Sea;366;12,1;5,2;0,4;24,7%;9,0%;36,58;35,26;Q2-2025;8;20;5;2;5;3,0%;51,6;33,0%;0,8%;1,7%;36,30;EUR;EUR;3,01;18,3%;8,6%;34,88
TCL.A;Transcontinental Inc;Materials;Packaging;1961;11,8;3,3;0,7;9,8%;3,9%;23,20;21,11;Q1-2026;8;21;5;5;5;11,0%;54,3;25,9%;-0,4%;18,9%;23,44;CAD;CAD;1,98;5,0%;5,7%;36,26
UZU;Uzin Utz SE;Materials;Chemicals;373;12,0;1,5;0,6;6,5%;6,9%;75,73;70,32;Q2-2025;7;18;5;5;5;5,2%;41,9;28,7%;-6,9%;-0,7%;74,00;EUR;EUR;6,16;10,2%;1,4%;88,30
8JM;Vetoquinol SA;Health Care;Pharmaceuticals;909;15,2;3,1;0,3;11,7%;8,3%;83,57;77,06;Q2-2025;8;19;5;4;5;0,3%;38,3;9,2%;-13,8%;-4,4%;77,30;EUR;EUR;5,10;14,1%;25,6%;89,15
WWIB;Wilh. Wilhelmsen B;Industrials;Marine & Sea;27189;4,1;1,4;0,3;27,9%;9,9%;618,90;509,95;Q4-2025;7;20;5;5;5;25,9%;52,0;73,5%;0,2%;29,8%;642,00;NOK;USD;15,52;12,7%;43,8%;684,20
YUMC;Yum China Holdings Inc;Consumer Durables;Restaurants & Cafés;19956;21,5;1,0;0,9;6,8%;7,0%;51,88;47,02;Q4-2025;7;18;5;5;5;15,0%;55,1;5,4%;-2,4%;21,4%;54,08;USD;USD;2,52;11,8%;4,6%;48,11
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
