Company;Info - Ticker;Info - Country;Info - Sector;Info - Industry;Market Cap - Current;P/E - Current;Current r. - Current;Debt-Equity - Current;FCF margin - Average 3y;ROA - Average 5y;MA - MA 50d;MA - MA 200d;Info - Report;F-Score - Point;FS & G & Div. - Point;Earnings - Stable 5y;OP Cash F. - Stable 5y;Price / MA - MA 200d;Performance - Perform. 1y;Performance - Perform. 1m;Performance - Perform. 6m;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;FCF growth - Growth 5y;Earnings g. - Growth 5y;Fair value
Aena SME SA;AENA;Spain;Industrials;Airlines;39483;18,5;1,9;1,0;26,8%;7,0%;26,31;24,40;Q4-2025;8;19;3;5;7,5%;19,9%;-0,5%;15,0%;26,24;EUR;EUR;1,42;9,3%;54,6%;79,6%;60,40
AEP Plantations PLC;AEP;UK;Food and Beverage;Farming;706;11,0;6,2;0,1;12,0%;11,9%;15,67;13,03;Q2-2025;8;23;5;5;37,4%;142,5%;12,2%;29,7%;17,90;GBP;USD;2,24;21,7%;15,5%;19,5%;29,38
Alkermes PLC;ALKS;USA;Health Care;Pharmaceuticals;5738;23,7;3,5;0,4;26,8%;6,8%;31,41;29,72;Q4-2025;6;14;2;5;17,2%;7,1%;15,2%;11,5%;34,84;USD;USD;1,47;16,1%;66,2%;32,6%;43,39
Alvopetro Energy Ltd;ALV;Canada;Energy;Oil & Gas -Exploration;364;13,2;1,1;0,2;28,2%;19,7%;8,18;6,79;Q3-2025;6;15;5;5;43,7%;90,3%;18,4%;44,6%;9,76;CAD;USD;0,53;28,3%;20,4%;25,5%;17,37
Athabasca Oil Corp;ATH;Canada;Energy;Oil & Gas -Exploration;5500;12,4;2,0;0,3;16,9%;17,3%;8,93;7,13;Q3-2025;7;16;3;4;51,5%;91,5%;21,3%;61,4%;10,80;CAD;CAD;0,87;23,0%;30,3%;22,0%;16,14
Azkoyen SA;AZK;Spain;Industrials;Industrial Components;229;13,2;1,9;0,5;13,6%;8,0%;8,97;8,75;Q4-2025;8;22;5;5;7,4%;28,8%;3,3%;7,3%;9,40;EUR;EUR;0,71;12,6%;19,2%;22,3%;14,43
AZZ Inc;AZZ;USA;Industrials;Business Support & Services;3786;11,8;1,7;0,7;13,2%;6,0%;128,24;112,62;Q3-2026;7;16;4;5;12,2%;47,3%;-6,1%;15,8%;126,38;USD;USD;10,73;6,7%;43,6%;59,2%;203,29
Bijou Brigitte Modische;BIJ;Germany;Consumer Durables;Accessories;328;13,7;3,0;0,8;18,2%;6,3%;44,15;40,89;Q2-2025;6;16;4;5;5,2%;13,0%;-6,1%;5,4%;43,00;EUR;EUR;3,13;14,4%;22,7%;22,7%;75,42
Björn Borg;BORG;Sweden;Consumer Durables;Clothing & Footwear;1783;19,4;1,4;1,0;7,7%;11,1%;63,85;61,60;Q4-2025;7;18;5;5;15,1%;35,6%;5,5%;17,0%;70,90;SEK;SEK;3,66;19,1%;-20,3%;37,3%;81,31
Bombardier Inc;BBD;Germany;Industrials;Military & Defense;15920;19,7;1,1;-16,3;8,6%;10,3%;156,66;122,79;Q4-2025;9;14;3;3;31,1%;218,8%;-6,4%;33,1%;161,00;EUR;USD;9,57;22,6%;21,6%;46,7%;230,70
Brady Corp;BRC;USA;Industrials;Security;3837;19,5;2,1;0,4;11,1%;11,7%;87,94;78,87;Q1-2026;6;18;5;5;2,4%;13,3%;-12,5%;3,2%;80,73;USD;USD;4,13;16,6%;2,6%;10,6%;80,58
Caltagirone SpA;QCG;Germany;Industrials;Construction Supplies;1047;7,9;1,5;0,4;13,8%;2,8%;9,49;8,46;Q2-2025;6;17;5;5;3,1%;22,1%;-13,7%;5,8%;8,72;EUR;EUR;1,10;4,2%;15,6%;24,2%;22,58
Cantaloupe Inc;CTLP;USA;Technology;IT Services;792;14,6;1,9;0,5;8,0%;6,9%;10,52;10,70;Q2-2026;7;12;3;4;0,7%;39,5%;2,8%;1,7%;10,78;USD;USD;0,74;10,8%;14,2%;48,8%;21,98
Catalyst Pharmaceuticals Inc;CPRX;USA;Health Care;Biotechnology;3019;14,1;6,1;0,2;37,7%;18,5%;24,08;22,22;Q4-2025;6;13;5;5;11,1%;3,2%;3,4%;18,5%;24,69;USD;USD;1,75;163,4%;35,9%;19,4%;42,07
CCL Industries Inc;CCL.B;Canada;Materials;Packaging;15309;19,1;1,4;0,8;10,0%;7,5%;86,96;82,74;Q4-2025;7;20;5;5;5,9%;25,7%;-6,6%;12,1%;87,63;CAD;CAD;4,59;10,3%;7,0%;9,2%;75,06
CF Industries Holdings Inc;CF;USA;Food and Beverage;Farming;21068;14,5;3,4;0,8;23,5%;12,5%;107,90;91,52;Q4-2025;8;21;5;5;42,0%;63,3%;24,6%;44,7%;129,97;USD;USD;8,98;16,1%;22,8%;43,4%;224,23
CI&T Inc;CINT;USA;Technology;IT Services;668;18,6;1,4;0,8;11,5%;5,1%;5,03;4,99;Q3-2025;8;12;5;5;0,5%;-16,2%;1,2%;2,7%;5,02;USD;USD;0,27;8,9%;13,9%;7,6%;6,07
Cipher Pharmaceuticals Inc;CPH;Canada;Health Care;Pharmaceuticals;482;19,9;1,3;0,3;60,8%;18,7%;15,54;14,50;Q3-2025;6;11;5;5;30,2%;50,4%;22,3%;15,0%;18,88;CAD;USD;0,68;38,0%;28,5%;33,6%;24,17
Cirrus Logic Inc;CRUS;USA;Technology;Semiconductors;7603;18,8;7,7;0,2;23,3%;13,4%;138,08;122,41;Q3-2026;9;19;5;5;20,2%;47,4%;2,9%;16,2%;147,13;USD;USD;7,83;20,5%;14,6%;15,9%;138,93
Clarkson PLC;CKN;UK;Industrials;Marine & Sea;1448;19,2;2,2;0,6;12,7%;9,0%;43,52;37,95;Q2-2025;6;16;4;5;24,2%;39,3%;5,8%;29,7%;47,15;GBP;GBP;2,45;89,5%;13,1%;35,6%;67,30
Cloetta;CLA B;Sweden;Food and Beverage;Food Processing;15383;19,2;1,6;0,8;8,2%;4,7%;49,98;39,05;Q4-2025;8;17;5;5;36,5%;82,7%;0,2%;54,0%;53,30;SEK;SEK;2,78;6,3%;20,3%;23,2%;57,02
ConocoPhillips;COP;USA;Energy;Oil & Gas -Exploration;163417;20,5;1,3;0,9;15,1%;10,9%;114,97;98,38;Q4-2025;6;17;4;5;32,7%;23,8%;10,4%;39,8%;130,52;USD;USD;6,36;13,5%;68,9%;35,3%;213,12
Corbion NV;CRBN;Netherlands;Materials;Chemicals;1085;14,5;1,9;0,9;4,7%;6,6%;19,74;18,29;Q4-2025;7;16;5;5;2,3%;-4,5%;-2,1%;12,4%;18,71;EUR;EUR;1,29;9,8%;19,7%;0,8%;21,33
Costamare Inc;CMRE;USA;Industrials;Marine & Sea;2074;5,4;1,7;0,8;14,1%;8,6%;16,78;13,61;Q3-2025;8;21;5;5;27,0%;127,6%;-3,5%;44,7%;17,28;USD;USD;3,22;11,4%;17,8%;81,9%;52,13
Coterra Energy Inc;CTRA;USA;Energy;Oil & Gas -Exploration;26300;15,4;1,2;0,6;23,2%;9,2%;31,38;26,47;Q4-2025;7;18;5;5;30,5%;18,9%;9,7%;49,3%;34,56;USD;USD;2,25;10,3%;56,2%;35,1%;58,18
CTS Corp;CTS;USA;Technology;Semiconductors;1426;21,9;2,3;0,4;14,4%;5,1%;51,04;44,39;Q4-2025;8;17;4;5;8,9%;17,6%;-6,9%;21,6%;48,34;USD;USD;2,21;7,2%;11,8%;15,6%;50,06
D/S Norden;DNORD;Denmark;Industrials;Marine & Sea;9151;11,3;1,6;0,9;13,7%;12,9%;280,66;251,14;Q4-2025;6;17;5;5;17,5%;69,9%;4,2%;27,5%;295,20;DKK;USD;4,10;31,1%;3,7%;15,0%;533,28
dAmico International Shipping SA;B7C0;Germany;Industrials;Marine & Sea;921;12,2;3,1;0,4;28,8%;10,9%;6,89;4,97;Q3-2025;6;17;4;5;55,4%;137,2%;-0,5%;81,4%;7,72;EUR;USD;0,74;14,2%;-1,3%;41,6%;13,77
Elmos Semiconductor SE;ELG;Germany;Technology;Semiconductors;2567;20,7;5,2;0,3;5,6%;13,3%;132,28;100,14;Q3-2025;6;18;5;5;49,4%;153,1%;-1,1%;77,7%;149,60;EUR;EUR;7,23;18,6%;93,0%;83,2%;256,63
Ennis Inc;EBF;USA;Industrials;Industrial Components;559;13,1;3,8;0,2;10,1%;10,8%;20,69;18,62;Q3-2026;7;21;5;5;16,5%;7,8%;2,9%;19,9%;21,69;USD;USD;1,66;15,6%;-17,0%;12,3%;25,02
EUROKAI GmbH & Co KGaA;EUK3;Germany;Industrials;Marine & Sea;782;11,7;4,1;0,5;44,7%;7,8%;56,90;48,34;Q2-2025;7;19;4;5;15,9%;50,5%;-1,8%;24,4%;56,00;EUR;EUR;4,80;11,8%;36,0%;27,5%;108,13
Evertz Technologies Ltd;ET;Canada;Technology;Communications;1217;18,9;2,1;0,7;16,5%;14,5%;14,89;12,80;Q2-2026;7;17;5;5;25,6%;53,1%;1,5%;31,6%;16,08;CAD;CAD;0,85;32,2%;18,3%;9,1%;22,02
Exelixis Inc;EXEL;USA;Health Care;Biotechnology;11916;15,2;3,6;0,3;28,2%;13,4%;42,70;41,59;Q4-2025;8;17;5;5;5,5%;20,6%;6,9%;6,1%;43,88;USD;USD;2,88;29,5%;40,0%;51,6%;96,03
F5 Inc;FFIV;USA;Technology;IT Services;17516;24,8;1,6;0,8;27,8%;9,2%;280,77;286,80;Q1-2026;9;18;5;5;5,8%;12,9%;9,1%;-7,3%;303,35;USD;USD;12,23;17,1%;8,6%;17,5%;249,67
Flexsteel Industries Inc;FLXS;USA;Consumer Durables;Home Furnishings;247;11,8;3,0;0,6;5,1%;4,8%;47,80;41,99;Q2-2026;6;14;5;4;10,9%;25,2%;-7,5%;4,3%;46,56;USD;USD;3,95;6,9%;10,5%;4,3%;53,03
Glenveagh Properties PLC;GVR;Germany;Industrials;Homebuilding;1123;8,9;6,2;0,7;9,6%;6,6%;2,06;1,92;Q2-2025;7;15;4;3;2,4%;31,7%;-11,9%;2,1%;1,97;EUR;EUR;0,22;8,4%;236,6%;73,7%;4,04
Global Ship Lease Inc;GSL;USA;Industrials;Marine & Sea;1367;3,4;2,2;0,6;22,0%;13,3%;38,18;33,02;Q3-2025;7;19;5;5;16,3%;66,2%;-6,5%;25,7%;38,41;USD;USD;11,14;16,9%;-29,0%;55,4%;132,50
Globus Medical Inc;GMED;USA;Health Care;Medical Equipment;11888;22,1;4,3;0,2;20,0%;6,3%;89,03;73,73;Q4-2025;8;17;5;5;19,2%;19,8%;-6,3%;51,4%;87,92;USD;USD;3,98;8,5%;22,2%;30,8%;91,48
Goodtech;GOD;Norway;Industrials;Business Consultants;336;10,8;1,3;0,8;5,4%;2,1%;10,26;9,57;Q4-2025;8;14;3;4;16,0%;26,4%;-0,4%;24,4%;11,10;NOK;NOK;1,03;5,9%;30,6%;143,6%;24,05
Gr. Sarantis SA;SSA1;Germany;Food and Beverage;Personal Products;904;17,7;1,9;0,6;8,4%;8,1%;13,76;13,24;Q2-2025;8;19;5;5;6,6%;11,9%;-1,8%;10,1%;14,12;EUR;EUR;0,80;12,4%;25,2%;6,6%;13,17
Hill & Smith PLC;HILS;UK;Industrials;Construction & Infrastructure;1737;21,5;1,9;0,6;11,8%;8,6%;22,51;21,38;Q2-2025;8;21;5;5;1,1%;25,1%;-8,7%;4,9%;21,60;GBP;GBP;1,01;11,8%;14,7%;27,2%;23,71
Hydratec Industries NV;HYDRA;Netherlands;Industrials;Industrial Machinery;273;11,3;1,3;0,9;7,8%;8,0%;196,76;178,01;Q4-2025;8;19;5;5;18,0%;27,3%;4,0%;11,7%;210,00;EUR;EUR;18,55;17,4%;15,7%;46,6%;375,50
IMC SA;IM4;Germany;Food and Beverage;Farming;268;4,2;6,0;0,7;20,6%;9,8%;7,24;6,42;Q3-2025;8;19;3;5;17,4%;-1,3%;8,6%;51,4%;7,54;EUR;USD;2,12;12,2%;1,8%;17,2%;18,35
Incyte Corp;INCY;USA;Health Care;Biotechnology;18726;14,6;3,3;0,3;19,1%;10,6%;98,19;90,87;Q4-2025;8;17;4;4;5,6%;57,5%;-4,1%;11,2%;95,93;USD;USD;6,59;36,2%;60,5%;46,9%;126,74
Industrie De Nora SpA;DNR;Italy;Industrials;Electrical Components;1391;15,2;2,9;0,4;5,1%;8,7%;7,25;6,99;Q3-2025;8;18;5;4;0,1%;0,1%;-5,8%;7,1%;7,00;EUR;EUR;0,46;14,2%;-0,4%;23,2%;12,46
Innovative Solutions & Support;ISSC;USA;Industrials;Military & Defense;397;21,0;3,0;0,6;15,1%;13,3%;23,96;16,02;Q1-2026;8;14;5;5;40,6%;250,8%;-18,3%;81,2%;22,52;USD;USD;1,07;20,7%;33,2%;29,8%;28,69
International Seaways Inc;INSW;USA;Energy;Oil & Gas -Transportation;3719;12,0;3,7;0,3;21,1%;11,7%;67,03;51,69;Q4-2025;6;19;3;4;45,8%;126,2%;-1,5%;63,7%;75,38;USD;USD;6,27;13,8%;-36,8%;101,7%;126,96
Itafos Inc;IFOS;Canada;Food and Beverage;Farming;732;4,1;2,7;0,9;11,0%;11,1%;3,36;3,08;Q3-2025;7;17;4;4;23,5%;69,6%;23,8%;33,8%;3,80;CAD;USD;0,66;14,7%;31,5%;31,6%;8,02
Ituran Location & Control Ltd;ITRN;USA;Technology;Semiconductors;1018;17,9;2,2;0,7;17,5%;14,2%;48,03;41,20;Q3-2025;6;19;5;5;24,1%;41,5%;7,8%;43,7%;51,15;USD;USD;2,85;27,9%;12,0%;29,9%;63,34
Jensen-Group NV;JEN;Belgium;Industrials;Industrial Machinery;628;12,1;2,0;0,7;8,2%;7,0%;65,33;60,77;Q2-2025;7;16;5;4;8,9%;38,2%;-0,6%;11,4%;66,20;EUR;EUR;5,49;12,5%;17,2%;41,2%;115,94
John B Sanfilippo & Son Inc;JBSS;USA;Food and Beverage;Food Processing;960;13,6;2,3;0,7;4,6%;12,3%;78,47;69,66;Q2-2026;7;16;5;5;18,0%;16,5%;-0,8%;27,5%;82,19;USD;USD;6,03;16,3%;-4,7%;3,0%;87,70
Karat Packaging Inc;KRT;USA;Materials;Packaging;558;18,4;2,1;0,9;10,9%;10,3%;25,59;25,00;Q3-2025;6;12;5;5;11,3%;4,2%;13,6%;16,6%;27,83;USD;USD;1,51;15,0%;59,1%;10,5%;39,06
Kennametal Inc;KMT;USA;Industrials;Measuring & Analysis;2750;24,8;2,6;0,9;8,7%;4,5%;37,68;27,88;Q2-2026;8;16;5;5;29,1%;68,1%;-12,2%;67,8%;35,99;USD;USD;1,45;5,8%;21,2%;17,4%;32,38
Kirby Corp;KEX;USA;Industrials;Marine & Sea;7570;21,3;1,5;0,8;9,5%;2,5%;127,89;109,76;Q4-2025;8;13;3;5;23,8%;33,8%;2,2%;62,4%;135,92;USD;USD;6,37;2,9%;3,6%;27,7%;139,92
Krka DD;KN8;Germany;Health Care;Pharmaceuticals;7044;17,7;3,9;0,3;15,8%;12,6%;229,80;208,84;Q3-2025;7;22;5;5;10,1%;;-0,9%;9,5%;230,00;EUR;EUR;13,03;19,4%;5,6%;7,0%;170,34
M P Evans Group PLC;MPE;UK;Food and Beverage;Farming;799;10,3;3,4;0,2;25,3%;13,1%;14,44;13,11;Q2-2025;8;23;5;5;16,0%;;3,4%;13,9%;15,20;GBP;USD;2,03;16,5%;121,6%;40,2%;30,04
