Company;Info - Ticker;Info - Country;Info - Industry;Info - Sector;ROE - Current;FCF margin - Current;Debt-Equity - Current;P/E - Current;Market Cap - Current USD;Info - Report;Dividend - Point;MA - MA 50d;MA - MA 200d;Div. Yield - Current;Dividend - Stable 10y;Dividend - Stable 5y;Dividend g. - Growth 5y;Revenue g. - Growth 5y;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;FCF growth - Growth 5y;Earnings g. - Growth 5y;Fair value
Betsson;BETS B;Sweden;Gambling & Casinos;Consumer Durables;19,8%;13,7%;0,5;7,3;1451,6;Q4-2025;11;97,07;140,73;7,0%;10;5;12,7%;13,7%;-34,8%;101,70;SEK;EUR;1,29;22,9%;19,1%;12,3%;292,73
Exxaro Resources Ltd;LCQ;Germany;Fuel - Coal;Energy;11,6%;14,8%;0,4;7,0;3028,4;Q2-2025;11;10,41;9,02;7,0%;8;5;6,6%;7,9%;54,1%;11,40;EUR;ZAR;33,86;16,3%;23,0%;3,7%;15,70
Nippon Yusen Kabushiki Kaisha;NYKA;Germany;Marine & Sea;Industrials;10,9%;16,5%;0,5;8,2;16221,7;Q2-2026;11;29,41;29,12;5,2%;9;5;48,2%;8,8%;13,6%;34,06;EUR;JPY;724,06;21,2%;75,8%;21,4%;41,53
Wilh. Wilhelmsen B;WWIB;Norway;Marine & Sea;Industrials;19,9%;31,0%;0,3;4,2;2761,2;Q4-2025;10;633,30;521,88;3,3%;10;5;29,6%;8,9%;78,6%;652,00;NOK;USD;15,52;12,7%;11,0%;43,8%;2445,00
Cal-Maine Foods Inc;CALM;USA;Farming;Food and Beverage;42,7%;18,6%;0,2;3,3;3781,1;Q2-2026;10;83,54;92,56;11,1%;7;5;202,9%;25,6%;-14,6%;78,10;USD;USD;23,74;51,4%;207,6%;258,7%;423,19
Cognizant Technology Solutions;CTSH;USA;IT Services;Technology;14,9%;13,9%;0,4;13,7;30519,5;Q4-2025;10;67,88;73,04;2,0%;8;5;7,1%;4,9%;-18,2%;62,54;USD;USD;4,57;17,0%;9,2%;12,1%;85,61
EOG Resources Inc;EOG;USA;Oil & Gas -Exploration;Energy;16,7%;19,0%;0,7;15,6;77453,5;Q4-2025;10;126,06;116,36;2,8%;10;5;22,8%;18,0%;10,3%;142,64;USD;USD;9,17;18,8%;26,9%;61,0%;353,25
Whitecap Resources Inc;WCP;Canada;Oil & Gas -Exploration;Energy;8,9%;14,6%;0,8;15,2;11060,2;Q4-2025;10;13,67;11,41;4,8%;10;5;27,8%;44,7%;63,2%;15,05;CAD;CAD;0,99;14,4%;8,8%;17,3%;15,91
Autotrader Group PLC;AUTO;UK;Online Services;Technology;52,1%;50,3%;0,2;14,2;5252,6;Q2-2026;10;4,86;6,75;2,2%;10;5;16,2%;18,6%;-37,4%;4,73;GBP;GBP;0,33;47,7%;20,1%;20,3%;8,10
Bic;BB;France;Personal Products;Food and Beverage;10,5%;10,5%;0,6;12,7;2474,3;Q2-2025;10;54,29;52,37;8,3%;10;5;12,9%;5,6%;-11,5%;54,50;EUR;EUR;4,28;14,1%;11,1%;15,5%;77,04
Hapag-Lloyd AG;HLAG;Germany;Marine & Sea;Industrials;8,7%;11,0%;0,6;13,2;22374,1;Q3-2025;10;128,44;122,93;7,1%;7;5;49,4%;8,7%;-17,2%;115,70;EUR;EUR;8,77;46,0%;2,9%;10,7%;163,73
Vidrala SA;VIR;Germany;Packaging;Materials;14,8%;13,0%;0,6;12,9;2960,7;Q4-2025;10;81,01;87,58;1,9%;10;5;11,1%;8,2%;-17,3%;76,50;EUR;EUR;5,95;13,3%;8,1%;6,2%;110,72
Jumbo SA;5JB;Germany;Retailers;Consumer Durables;21,9%;24,8%;0,2;10,1;3508,4;Q2-2025;10;24,26;27,50;6,2%;9;5;10,7%;11,3%;-5,0%;23,60;EUR;EUR;2,33;28,4%;19,0%;18,0%;43,46
Bosideng International Holdings;3BD;Germany;Clothing & Footwear;Consumer Durables;22,1%;17,2%;0,8;11,6;5527,1;Q2-2026;10;0,47;0,50;7,0%;10;5;24,9%;14,0%;-5,2%;0,44;EUR;CNY;0,32;61,2%;13,2%;14,6%;0,52
Grand Pharmaceutical Group Ltd;MX6A;Germany;Pharmaceuticals;Health Care;12,0%;7,7%;0,5;12,7;3136,7;Q2-2025;10;0,78;0,88;3,4%;7;5;18,8%;13,0%;11,6%;0,81;EUR;HKD;0,59;15,1%;-7,2%;2,7%;0,81
Tenaris SA;TEN;Italy;Oil & Gas - Services;Energy;11,6%;19,4%;0,2;16,0;29887,9;Q3-2025;10;21,65;17,49;2,8%;10;5;64,0%;18,1%;38,9%;25,32;EUR;USD;1,86;16,4%;56,3%;40,3%;42,79
Thorpe PLC;TFW;UK;Electrical Components;Industrials;13,4%;14,5%;0,3;11,4;364,6;Q4-2025;10;;;3,8%;10;5;10,9%;9,1%;;2,47;GBP;GBP;0,22;18,0%;20,2%;13,6%;4,84
ANTA Sports Products Ltd;AS7;Germany;Leisure;Consumer Durables;21,4%;25,1%;0,7;13,9;26905,4;Q2-2025;10;8,68;9,38;3,0%;10;5;33,5%;16,3%;-13,4%;8,76;EUR;CNY;5,33;35,1%;16,1%;22,7%;9,88
First Resources Ltd;5F1;Germany;Food Processing;Food and Beverage;18,5%;14,2%;0,7;11,8;3197,1;Q2-2025;10;1,61;1,28;3,3%;8;5;30,2%;13,7%;65,0%;1,88;EUR;USD;0,19;15,6%;5,4%;24,4%;2,91
Krka DD;KN8;Germany;Pharmaceuticals;Health Care;17,3%;18,5%;0,3;17,7;7748,3;Q3-2025;10;229,80;208,84;3,6%;10;5;14,2%;5,5%;;230,00;EUR;EUR;13,03;19,4%;5,6%;7,0%;170,34
Hexpol;HPOL B;Sweden;Chemicals;Materials;13,9%;4,1%;0,6;12,7;2462,7;Q4-2025;9;74,59;83,04;5,9%;10;5;12,8%;7,6%;-19,7%;71,50;SEK;SEK;5,64;15,4%;-14,2%;6,6%;91,02
Medistim;MEDI;Norway;Medical Equipment;Health Care;34,0%;22,2%;0,4;24,6;392,4;Q4-2025;9;215,04;234,68;3,7%;10;5;21,7%;14,0%;23,0%;214,00;NOK;NOK;8,69;44,9%;19,4%;17,9%;204,09
FM Mattsson;FMM B;Sweden;Installation;Industrials;13,5%;11,0%;0,7;27,5;399,4;Q4-2025;9;78,94;64,66;2,6%;10;5;10,8%;5,1%;85,8%;94,40;SEK;SEK;3,43;14,3%;7,5%;10,6%;58,10
Columbia Sportswear Co;COLM;USA;Clothing & Footwear;Consumer Durables;10,4%;9,2%;0,7;16,8;2977,2;Q4-2025;9;58,02;55,75;2,2%;10;5;35,8%;6,3%;-29,1%;54,45;USD;USD;3,24;17,0%;6,1%;14,7%;72,24
Gentex Corp;GNTX;USA;Auto & Equipment;Consumer Durables;15,4%;15,9%;0,2;12,4;4685,6;Q4-2025;9;22,89;24,49;2,8%;10;5;4,8%;8,5%;-8,3%;21,51;USD;USD;1,74;18,7%;1,7%;4,3%;30,08
A.O. Smith Corp;AOS;USA;Industrial Machinery;Industrials;29,4%;15,2%;0,7;16,6;9075,3;Q4-2025;9;72,24;70,00;2,1%;10;5;7,1%;5,8%;-1,9%;64,35;USD;USD;3,87;24,4%;11,9%;12,7%;79,92
Aalberts NV;AALB;Netherlands;Industrial Machinery;Industrials;6,1%;3,6%;0,8;21,9;3596,1;Q4-2025;9;32,78;29,81;3,8%;10;5;7,2%;3,4%;-3,2%;30,02;EUR;EUR;1,37;8,8%;-10,5%;5,3%;29,71
Abbott Laboratories;ABT;USA;Medical Equipment;Health Care;12,4%;18,5%;0,6;27,6;179096,7;Q4-2025;9;109,49;124,26;2,3%;10;5;10,4%;5,1%;-21,9%;102,87;USD;USD;3,73;14,4%;4,8%;8,2%;82,64
AEP Plantations PLC;AEP;UK;Farming;Food and Beverage;15,1%;19,9%;0,1;11,0;890,1;Q2-2025;9;15,67;13,03;2,0%;10;5;150,3%;10,6%;142,5%;17,90;GBP;USD;2,24;21,7%;15,5%;19,5%;27,09
Associated British Foods PLC;ABF;UK;Food Processing;Food and Beverage;9,2%;7,8%;0,7;13,3;17241,3;Q4-2025;8;18,98;20,72;4,8%;10;5;21,3%;6,9%;-1,9%;18,90;GBP;GBP;1,42;7,0%;13,3%;19,7%;26,76
Aubay;AUB;France;IT Services;Technology;12,6%;7,6%;0,7;16,0;613,9;Q2-2025;6;47,66;49,32;3,0%;10;5;16,7%;4,7%;-10,5%;43,95;EUR;EUR;2,74;19,3%;3,3%;6,7%;55,71
Azbil Corp;YMK;Germany;Industrial Machinery;Industrials;18,6%;14,2%;0,3;15,5;4234,9;Q2-2026;9;7,41;7,88;2,0%;10;5;15,8%;3,6%;6,4%;7,45;EUR;JPY;83,59;21,4%;33,0%;18,6%;7,67
Barco NV;BAR;Belgium;Semiconductors;Technology;10,0%;7,9%;0,5;11,0;866,7;Q4-2025;6;10,65;12,35;5,5%;10;5;6,1%;4,6%;-25,5%;9,31;EUR;EUR;0,85;10,3%;29,9%;80,2%;22,60
Bloomsbury Publishing PLC;BMY;UK;Broadcasting & Publishing;Consumer Durables;10,9%;3,6%;0,8;20,7;587,5;Q2-2026;8;5,07;4,95;2,7%;10;5;64,5%;13,0%;-3,5%;5,73;GBP;GBP;0,28;14,0%;-6,1%;10,3%;5,50
Boston Pizza Royalties Income;BPF.UN;Canada;Restaurants & Cafés;Consumer Durables;14,5%;61,0%;0,5;12,4;385,3;Q4-2025;9;24,31;21,76;6,2%;10;5;18,0%;9,7%;43,4%;24,47;CAD;CAD;1,98;9,5%;9,1%;35,1%;30,02
Cembre SpA;J0L;Germany;Electrical Components;Industrials;20,9%;12,8%;0,3;25,2;1264,0;Q3-2025;7;68,09;63,13;2,8%;10;5;15,9%;11,8%;48,6%;68,30;EUR;EUR;2,71;19,9%;7,1%;19,1%;51,23
Clarkson PLC;CKN;UK;Marine & Sea;Industrials;15,2%;12,1%;0,6;19,2;1823,9;Q2-2025;8;43,52;37,95;2,3%;10;5;6,9%;12,6%;39,3%;47,15;GBP;GBP;2,45;89,5%;13,1%;35,6%;69,81
Compx International Inc;CIX;USA;Security;Industrials;14,0%;9,2%;0,1;14,8;286,7;Q3-2025;9;23,69;23,92;9,5%;10;5;40,6%;6,8%;9,6%;23,27;USD;USD;1,57;20,3%;3,0%;13,6%;28,36
COSCO SHIPPING International Co;CSB;Germany;Marine & Sea;Industrials;9,5%;9,1%;0,2;11,6;1112,7;Q2-2025;7;0,75;0,68;7,5%;10;5;24,6%;2,0%;19,0%;0,69;EUR;HKD;0,55;21,2%;26,7%;20,1%;0,84
Coterra Energy Inc;CTRA;USA;Oil & Gas -Exploration;Energy;11,6%;25,3%;0,6;15,4;26300,2;Q4-2025;9;31,38;26,47;2,5%;10;5;17,1%;39,1%;18,9%;34,56;USD;USD;2,25;10,3%;56,2%;35,1%;59,88
EBARA JITSUGYO Co Ltd;EJI;Germany;Industrial Components;Industrials;15,0%;8,3%;0,7;14,0;343,6;Q2-2025;8;13,55;12,08;2,4%;10;5;29,1%;5,5%;17,0%;13,10;EUR;JPY;158,96;33,3%;4,7%;11,5%;13,30
ENAV SpA;ENV;Germany;Airlines;Industrials;9,0%;27,2%;0,7;26,6;2975,0;Q3-2025;7;5,09;4,53;5,1%;8;5;5,2%;5,8%;47,4%;5,27;EUR;EUR;0,20;6,7%;21,8%;14,7%;4,56
Ennis Inc;EBF;USA;Industrial Components;Industrials;14,0%;4,2%;0,2;13,1;559,3;Q3-2026;9;20,69;18,62;4,6%;10;5;2,1%;1,7%;7,8%;21,69;USD;USD;1,66;15,6%;-17,0%;12,3%;25,02
Equasens;EQS;France;Medical Supplies;Health Care;15,1%;16,3%;0,7;15,8;628,3;Q4-2024;9;36,69;42,57;3,3%;10;5;8,0%;6,5%;10,6%;38,00;EUR;EUR;2,41;20,6%;13,5%;6,0%;42,44
EUROKAI GmbH & Co KGaA;EUK3;Germany;Marine & Sea;Industrials;12,6%;57,0%;0,5;11,7;860,2;Q2-2025;9;56,90;48,34;3,6%;10;5;5,9%;5,9%;50,5%;56,00;EUR;EUR;4,80;11,8%;36,0%;27,5%;109,81
Evertz Technologies Ltd;74E;Germany;Communications;Technology;23,7%;20,7%;0,7;18,8;824,5;Q2-2026;7;9,54;8,19;5,0%;9;5;8,2%;8,2%;45,6%;9,90;EUR;CAD;0,85;32,2%;18,3%;9,1%;8,45
EVS Broadcast Equipment SA;EVS;Belgium;Communications;Technology;15,7%;20,7%;0,3;13,2;500,4;Q2-2025;8;34,57;35,53;3,3%;10;5;17,1%;16,8%;-11,2%;33,75;EUR;EUR;2,55;25,9%;31,6%;36,9%;103,67
Exxon Mobil Corp;XOM;USA;Oil & Gas -Exploration;Energy;10,8%;9,7%;0,7;24,0;691770,4;Q4-2025;8;151,69;123,82;2,5%;10;5;2,8%;12,6%;35,0%;160,69;USD;USD;6,70;11,8%;102,9%;26,8%;221,84
Frosta AG;NLM;Germany;Food Processing;Food and Beverage;13,1%;4,7%;0,8;18,0;734,2;Q4-2025;5;96,56;95,97;2,4%;10;5;8,4%;4,0%;22,5%;98,00;EUR;EUR;5,44;13,2%;-4,8%;8,1%;64,62
Gamma Communications PLC;GAMA;UK;Telecom Services;Telecom;18,7%;12,9%;0,8;10,4;865,9;Q2-2025;9;8,62;;2,7%;10;5;12,3%;9,3%;;7,22;GBP;GBP;0,70;20,7%;8,4%;0,6%;14,76
Gaztransport et technigaz SA;GTT;France;Oil & Gas - Services;Energy;70,1%;55,9%;0,8;18,2;8297,8;Q4-2025;9;191,13;170,61;3,8%;10;5;13,0%;15,2%;46,1%;203,60;EUR;EUR;11,16;205,2%;17,4%;15,8%;188,86
Genuit Group PLC;GEN;UK;Construction Supplies;Industrials;7,6%;10,3%;0,5;14,7;905,1;Q2-2025;6;3,34;3,49;4,3%;10;5;21,1%;8,0%;-20,2%;2,89;GBP;GBP;0,20;4,8%;20,1%;18,3%;175,89
Giordano International Ltd;GIO;Germany;Clothing & Footwear;Consumer Durables;9,8%;16,5%;0,7;10,1;261,2;Q2-2025;7;0,15;0,16;10,3%;10;5;13,3%;4,8%;-15,0%;0,15;EUR;HKD;0,14;13,0%;5,1%;31,3%;0,22
Gr. Sarantis SA;SSA1;Germany;Personal Products;Food and Beverage;13,4%;8,1%;0,6;17,7;994,2;Q2-2025;7;13,76;13,24;2,2%;10;5;13,5%;8,9%;11,9%;14,12;EUR;EUR;0,80;12,4%;25,2%;6,6%;13,31
Hargreaves Services PLC;HSP;UK;Industrial Components;Industrials;10,8%;17,4%;0,7;11,4;313,1;Q2-2026;9;7,39;;4,9%;10;5;38,7%;9,5%;;7,50;GBP;GBP;0,66;11,0%;1,4%;5,3%;9,08
Henkel AG & Co KGaA;HEN;Germany;Personal Products;Food and Beverage;10,4%;11,1%;0,6;12,2;28205,2;Q2-2025;9;69,60;65,89;3,3%;10;5;2,0%;1,9%;-8,3%;61,20;EUR;EUR;5,00;7,7%;7,9%;9,0%;84,08
HF Sinclair Corp;DINO;USA;Oil & Gas - Marketing;Energy;6,3%;4,1%;0,8;19,7;11322,2;Q4-2025;5;55,74;50,68;3,3%;10;5;7,4%;19,2%;82,5%;60,72;USD;USD;3,08;9,0%;62,4%;23,1%;76,90
