"Company","Ticker","Morningstar FV","AlphaSpread FV","ValueInvesting FV","Average FV","Currency","Date"
"NVIDIA","NVDA","$786","$158","$124","$356","USD","2026-03-15"
"Microsoft","MSFT","$489","$393","N/A","$441","USD","2026-03-15"
"Alphabet","GOOGL","$212","$185","N/A","$199","USD","2026-03-10"
"Zoom Video","ZM","$24","N/A","N/A","$24","USD","2026-01-25"
"Regeneron","REGN","$1,150","N/A","$980","$1,065","USD","2026-02-20"
"Altria","MO","$58","$52","N/A","$55","USD","2026-03-12"
"Philip Morris","PM","$132","N/A","$128","$130","USD","2026-03-12"
"SAP","SAP","€220","€195","N/A","€208","EUR","2026-03-10"
"Garmin","GRMN","$168","N/A","$152","$160","USD","2026-02-28"
"Copart","CPRT","$62","$58","N/A","$60","USD","2026-03-05"
"ResMed","RMD","$245","N/A","$230","$238","USD","2026-03-08"
"Jack Henry","JKHY","$198","N/A","$185","$192","USD","2026-03-01"
"Duolingo","DUOL","$345","$290","N/A","$318","USD","2026-02-15"